lambda,kappa
4.869274585210844859e-06,4.555877100269774019e+03
4.872403922285157632e-06,4.680529642069099282e+03
4.877120937967898934e-06,4.845816897522361614e+03
4.881842329185557095e-06,5.026630938995673205e+03
4.884947279206489375e-06,5.234328801973376358e+03
4.886460643713006281e-06,5.419172806387304263e+03
4.892013689811110198e-06,5.610557272502502201e+03
4.895946450096107472e-06,5.831133709135353456e+03
4.899892741347891798e-06,6.048699371173441250e+03
4.906294677945911339e-06,6.250244404843397206e+03
4.910262497722866423e-06,6.470964242680380266e+03
4.915869804171410633e-06,6.699478535207330424e+03
4.923081770418973913e-06,7.043880832218596879e+03
4.928711122326666972e-06,7.306712174769122612e+03
4.934377710823755174e-06,7.521111030445024880e+03
4.938408173263062934e-06,7.741800933067303959e+03
4.944092205341993167e-06,7.984357973010432033e+03
4.948944216985469098e-06,8.282262671307033088e+03
4.952991160891974784e-06,8.541752825465227943e+03
4.957855747220750429e-06,8.877567845137831682e+03
4.963594516022234842e-06,9.120465397582094738e+03
4.970999190721331726e-06,9.424362879146754494e+03
4.981764251955716080e-06,9.775995657842337096e+03
4.989253148717661909e-06,1.000481356099118602e+04
5.001813157269510098e-06,1.029840578016700056e+04
5.011928389567169655e-06,1.045846626796795499e+04
5.023767443776507113e-06,1.070325814445264950e+04
5.033984428879364458e-06,1.082781931401211841e+04
5.045108313430381006e-06,1.093268915121964528e+04
5.061463886708241751e-06,1.105989490067540646e+04
5.075374384991508789e-06,1.097493609232158815e+04
5.093740099042682749e-06,1.089062991215110378e+04
5.108708201826669742e-06,1.080694646292675679e+04
5.124636278940102088e-06,1.078613868453295981e+04
5.139755080390909101e-06,1.080694646292675679e+04
5.154062664124682832e-06,1.084870749942893599e+04
5.165705501063102145e-06,1.101734628731355951e+04
5.178288472094203343e-06,1.125348405697435555e+04
5.187308523474127515e-06,1.145048810677525944e+04
5.198164424178533543e-06,1.171849934269692676e+04
5.205394454380963825e-06,1.201591921951759650e+04
5.214495672229316572e-06,1.227348793425458098e+04
5.222679380757350944e-06,1.263362553175606445e+04
5.231759079587088632e-06,1.323195453575995816e+04
5.241834663099423459e-06,1.369925658442358690e+04
5.248239084581145814e-06,1.412843311574111431e+04
5.254670219524357787e-06,1.451499865751453763e+04
5.259235612177655407e-06,1.496976559605815419e+04
5.265674332786404763e-06,1.546852843506544741e+04
5.274954358457414019e-06,1.595317025186285173e+04
5.279566230838474450e-06,1.638966210137616144e+04
5.291713652674141301e-06,1.700117743673540826e+04
5.298265877578268911e-06,1.739914870879477530e+04
5.305743467303355637e-06,1.801357864669140690e+04
5.316134574757078968e-06,1.850644496327381785e+04
5.326577812246654664e-06,1.893960861017447314e+04
5.339042549499598791e-06,1.908622327514130666e+04
5.356433129753165050e-06,1.908622327514130666e+04
5.370078993861999994e-06,1.886670244263808854e+04
5.380848376840183359e-06,1.868568399694305117e+04
5.396607476675862561e-06,1.836424169680533305e+04
5.407559660253841693e-06,1.780639487209760046e+04
5.419551900609753783e-06,1.726545389139080362e+04
5.424661487561522359e-06,1.658036168334494505e+04
5.431747914751975496e-06,1.604571226209346969e+04
5.444831874481379995e-06,1.561838053440326985e+04
5.449935799756279360e-06,1.523179198218204510e+04
5.459105296314776615e-06,1.471221286821865942e+04
5.466246203008730645e-06,1.437573306490567848e+04
5.476478252083389004e-06,1.391217397554406671e+04
5.482663543741511735e-06,1.354169412868072322e+04
5.491931528794471914e-06,1.313031061421768209e+04
5.503262333911542923e-06,1.278062228451118608e+04
5.511551937282948308e-06,1.246427436005306481e+04
5.522963931731747551e-06,1.213232400411472918e+04
5.531297742013635907e-06,1.187771772452641926e+04
5.543821134154928234e-06,1.158371863232203941e+04
5.555361117916428324e-06,1.129697063850709492e+04
5.565886459255762920e-06,1.105989490067540646e+04
5.579619213307168916e-06,1.078613868453295981e+04
5.592321965634063208e-06,1.064152819388854368e+04
5.604039840240032767e-06,1.043832945603968255e+04
5.618990840483030412e-06,1.027855348266995315e+04
5.640460148738934072e-06,1.014077157110966982e+04
5.655583984291049874e-06,1.004347493363251670e+04
5.672986373486730705e-06,9.889742864694309901e+03
5.692640667997226881e-06,9.851695952930960630e+03
5.716814179528545940e-06,9.889742864694309901e+03
5.738979724184634714e-06,9.889742864694309901e+03
5.756823707060571547e-06,9.927959572270914578e+03
5.779257781481639809e-06,1.004347493363251670e+04
5.800729847829454218e-06,1.016033435754930360e+04
5.818933412781171016e-06,1.025876307621148771e+04
5.837207293240281095e-06,1.047866605425739726e+04
5.860218550990640583e-06,1.074461850055287505e+04
5.875233540533236250e-06,1.101734628731355951e+04
5.891515981326251359e-06,1.125348405697435555e+04
5.913751482873185090e-06,1.160606503981104834e+04
5.927864996431425328e-06,1.187771772452641926e+04
5.940859927592799563e-06,1.213232400411472918e+04
5.957476722649075604e-06,1.248831946704722759e+04
5.971792833729163959e-06,1.280530715054971552e+04
5.989792196139339337e-06,1.318104977376903480e+04
6.010326943754758748e-06,1.362024751818334698e+04
6.022438400994424827e-06,1.399287646451954788e+04
6.041985759039566215e-06,1.437573306490567848e+04
6.059217948857777386e-06,1.465561339212520033e+04
6.076556099677395616e-06,1.491214095021726098e+04
6.099003910681307102e-06,1.520242956703757227e+04
6.116589536472612374e-06,1.540901933108471712e+04
6.148307002183878842e-06,1.555825910891212516e+04
6.168833572272821203e-06,1.546852843506544741e+04
6.185646084547885051e-06,1.529061664022189689e+04
6.205179214883494846e-06,1.502757831718480156e+04
6.223515053749387916e-06,1.479755626594280147e+04
6.241998538123943056e-06,1.445912459244295678e+04
6.261905447732501482e-06,1.415572118286591103e+04
6.275273664684517023e-06,1.388538736805487861e+04
6.292727620543490793e-06,1.356781770994991530e+04
6.312967909290227271e-06,1.325751111805087021e+04
6.327944455834745058e-06,1.290443516614485270e+04
6.345693051212281243e-06,1.260930065133986318e+04
6.364910502993417199e-06,1.232091609348437487e+04
6.382838844170010512e-06,1.210896433354123474e+04
6.407832934979719932e-06,1.180921419802506716e+04
6.428784496857610538e-06,1.162845455624835085e+04
6.454019627964492384e-06,1.162845455624835085e+04
6.482238342828732717e-06,1.174110575863151462e+04
6.510675228638637125e-06,1.192361651796989827e+04
6.535020849984021718e-06,1.213232400411472918e+04
6.571191633033117621e-06,1.236849904871280523e+04
6.591566749500688906e-06,1.263362553175606445e+04
6.616500360930094398e-06,1.290443516614485270e+04
6.640145923846822882e-06,1.315564058646198646e+04
6.663961098460692091e-06,1.341176700279827128e+04
6.680401572299314136e-06,1.367284844679454000e+04
6.710558190940880727e-06,1.401990271358089922e+04
6.733358336537289346e-06,1.426530297841973879e+04
6.762482020250928055e-06,1.454299986204984634e+04
6.788792518207541157e-06,1.468388585965111815e+04
6.810574097343535405e-06,1.491214095021726098e+04
6.838822628296312441e-06,1.511475110381056948e+04
6.867306470719522568e-06,1.532014938244742552e+04
6.894397819164082390e-06,1.558830878359514645e+04
6.921727718612387148e-06,1.580010597941351443e+04
6.944347995166733653e-06,1.610771734167626346e+04
6.973709811382070249e-06,1.635806765318115868e+04
7.003262119495261702e-06,1.677328012317290995e+04
7.033110477506002495e-06,1.706687469858001350e+04
7.061483631834015410e-06,1.750007862882901463e+04
